condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
inverted_glasses,rectangle_round_001.png,rectangle_round_101.png,0,0,0,0,1,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,x,7.3418,0,0,0,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,period,2.3339,0,1,1,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,x,3.1124,0,2,2,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,x,3.98,0,3,3,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,period,2.9933,0,4,4,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,x,1.9272,0,5,5,28,1,glasses2,4,2,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,x,1.9883,0,6,6,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,x,2.7658,0,7,7,27,1,glasses2,2,0,,,,,,,,,,,
,,,,,,,,11,5d4ca0ef259d580001cde9bb,2021-07-27_00h12.21.541,glasses,2021.1.4,Win32,60.25548325,1,period,1.8353,0,8,8,20,1,glasses2,4,6,,,,,,,,,,,
