condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
inverted_glasses,rectangle_square_001.png,rectangle_square_101.png,0,0,0,0,1,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,9.8366,0,0,0,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,3.5907,0,1,1,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,3.0704,0,2,2,27,1,glasses2,2,0,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.1648,0,3,3,26,1,glasses2,7,9,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.0228,0,4,4,24,1,glasses2,3,5,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.0319,0,5,5,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.4559,0,6,6,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.0122,0,7,7,0,1,glasses1,0,2,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.259,0,8,8,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.5729,0,9,9,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.2475,0,10,10,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.9859,0,11,11,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.1345,0,12,12,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,1.7609,0,13,13,28,1,glasses2,4,2,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.1801,0,14,14,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.2491,0,15,15,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.0454,0,16,16,34,1,glasses2,7,5,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.7091,0,17,17,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.247,0,18,18,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.1299,0,19,19,10,1,glasses1,4,2,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.1711,0,20,20,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.3267,0,21,21,22,1,glasses2,8,10,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.2435,0,22,22,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.7262,0,23,23,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.4095,0,24,24,6,1,glasses1,3,5,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,x,2.0264,0,25,25,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.0961,0,26,26,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,19,60fdfed939de3ee8edb59d82,2021-07-27_00h12.54.821,glasses,2021.1.4,MacIntel,60.14675809,1,period,2.2423,0,27,27,12,1,glasses1,8,6,,,,,,,,,,,
