condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
face_upright_glasses,round_square_001.png,round_square_101.png,0,0,0,0,1,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,,,,,,,,,,,,,,,,,,,,,
,round_square_001.png,round_square_101.png,1,0,1,0,1,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,x,2.6542,0,0,0,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,x,1.9511,0,1,1,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,x,1.6485,0,2,2,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,period,1.1887,0,3,3,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,period,1.3605,0,4,4,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,x,1.308,0,5,5,34,1,glasses2,7,5,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,period,2.0905,0,6,6,26,1,glasses2,7,9,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,x,1.7748,0,7,7,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,x,1.7055,0,8,8,27,1,glasses2,2,0,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,x,1.683,0,9,9,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,period,0.9036,0,10,10,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,period,1.0052,0,11,11,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,x,1.1366,0,12,12,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,60,60ff6e919511c687a5b95ae5,2021-07-26_23h18.42.423,glasses,2021.1.4,MacIntel,59.99880002,1,period,1.4731,0,13,13,18,1,glasses2,0,2,,,,,,,,,,,
