condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
inverted_glasses,cateye_rectangle_001.png,cateye_rectangle_101.png,0,0,0,0,1,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,x,8.0483,0,0,0,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,x,1.9395,0,1,1,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,period,3.3848,0,2,2,17,1,glasses1,9,7,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,period,1.4405,0,3,3,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,x,2.1658,0,4,4,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,period,1.5865,0,5,5,26,1,glasses2,7,9,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,period,1.3981,0,6,6,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,x,1.3253,0,7,7,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,31,60ff57e5154dbec052c4fba2,2021-07-26_22h14.29.263,glasses,2021.1.4,Linux x86_64,60.0240096,1,x,3.0319,0,8,8,27,1,glasses2,2,0,,,,,,,,,,,
