condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
face_upright_glasses,oval_rectangle_001.png,oval_rectangle_101.png,0,0,0,0,1,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,x,2.472,0,0,0,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,x,1.3,0,1,1,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,period,1.869,0,2,2,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,period,1.94,0,3,3,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,period,1.544,0,4,4,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,x,1.228,0,5,5,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,period,1.59,0,6,6,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,x,2.072,0,7,7,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,period,1.349,0,8,8,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,period,1.582,0,9,9,10,1,glasses1,4,2,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,x,1.516,0,10,10,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,x,1.566,0,11,11,34,1,glasses2,7,5,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,x,1.547,0,12,12,0,1,glasses1,0,2,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,period,1.583,0,13,13,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,36,60ff3c8c47cd2ffa6b0be8e8,2021-07-27_00h14.54.780,glasses,2021.1.4,MacIntel,62.5,1,x,1.735,0,14,14,30,1,glasses2,8,6,,,,,,,,,,,
