condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
inverted_glasses,oval_round_001.png,oval_round_101.png,0,0,0,0,1,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,7.555,0,0,0,26,1,glasses2,7,9,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.7955,0,1,1,17,1,glasses1,9,7,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,2.5304,0,2,2,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,2.2494,0,3,3,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,2.3098,0,4,4,10,1,glasses1,4,2,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,2.2085,0,5,5,34,1,glasses2,7,5,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,2.0202,0,6,6,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.946,0,7,7,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,2.2,0,8,8,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,2.6763,0,9,9,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.4631,0,10,10,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.8468,0,11,11,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.7241,0,12,12,28,1,glasses2,4,2,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.7101,0,13,13,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.564,0,14,14,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.3965,0,15,15,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.516,0,16,16,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.3985,0,17,17,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.9561,0,18,18,22,1,glasses2,8,10,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.5261,0,19,19,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.7151,0,20,20,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,2.105,0,21,21,0,1,glasses1,0,2,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.0125,0,22,22,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.7408,0,23,23,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.4825,0,24,24,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,2.0487,0,25,25,25,1,glasses2,5,7,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,2.0631,0,26,26,12,1,glasses1,8,6,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.244,0,27,27,27,1,glasses2,2,0,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.591,0,28,28,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.3478,0,29,29,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,2.7052,0,30,30,6,1,glasses1,3,5,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,0.8837,0,31,31,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,0.965,0,32,32,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,period,1.0506,0,33,33,24,1,glasses2,3,5,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.0317,0,34,34,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,x,1.0464,0,35,35,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,,,,,,,,,,,oval_round_001.png,x,1.1449,0,0,0,0,1,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,,,,,,,,,,,oval_round_101.png,period,0.8647,1,0,1,0,1,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,,,,,,,,,,,oval_round_071.png,x,0.9142,2,0,2,0,1,,,
,,,,,,,,75,60fe18baa4c353a8adaa9bcb,2021-07-27_14h58.27.763,glasses,2021.1.4,Win32,60.05645307,1,,,,,,,,,,,oval_round_041.png,x,0.8486,3,0,3,0,1,,,
