condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
face_upright_glasses,rectangle_round_001.png,rectangle_round_101.png,0,0,0,0,1,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,4.3829,0,0,0,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,period,2.3994,0,1,1,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,2.132,0,2,2,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,2.3274,0,3,3,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,3.2672,0,4,4,28,1,glasses2,4,2,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,period,3.139,0,5,5,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,period,2.0918,0,6,6,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,period,1.8132,0,7,7,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,2.018,0,8,8,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,period,1.7719,0,9,9,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,1.7637,0,10,10,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,1.6892,0,11,11,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,1.7103,0,12,12,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,1.9448,0,13,13,0,1,glasses1,0,2,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,x,1.62,0,14,14,34,1,glasses2,7,5,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,period,1.7355,0,15,15,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,64,60fd21df909896d365321a20,2021-07-27_01h18.36.697,glasses,2021.1.4,Win32,60.07810153,1,period,1.5699,0,16,16,14,1,glasses1,3,1,,,,,,,,,,,
