condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
upright_glasses,geometric_oval_001.png,geometric_oval_101.png,0,0,0,0,1,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,5.9474,0,0,0,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,3.9478,0,1,1,28,1,glasses2,4,2,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,2.432,0,2,2,22,1,glasses2,8,10,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,2.5476,0,3,3,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.2812,0,4,4,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.0694,0,5,5,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,2.5146,0,6,6,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,2.7,0,7,7,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,1.1342,0,8,8,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,2.3246,0,9,9,24,1,glasses2,3,5,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,1.4905,0,10,10,34,1,glasses2,7,5,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,1.9995,0,11,11,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.2836,0,12,12,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,1.2295,0,13,13,12,1,glasses1,8,6,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.5094,0,14,14,27,1,glasses2,2,0,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,1.5881,0,15,15,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,0.9986,0,16,16,25,1,glasses2,5,7,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,1.3105,0,17,17,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.3972,0,18,18,6,1,glasses1,3,5,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,1.0239,0,19,19,17,1,glasses1,9,7,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.1711,0,20,20,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.584,0,21,21,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,1.8204,0,22,22,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,0.7641,0,23,23,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,5.1361,0,24,24,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.451,0,25,25,0,1,glasses1,0,2,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,period,3.0016,0,26,26,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.7075,0,27,27,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.2508,0,28,28,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,0.9944,0,29,29,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,0.9072,0,30,30,10,1,glasses1,4,2,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,0.9641,0,31,31,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.4783,0,32,32,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,37,60fd119176dd5ef37c938aa6,2021-07-27_00h14.54.665,glasses,2021.1.4,Win32,143.9470275,1,x,1.5296,0,33,33,1,1,glasses1,2,4,,,,,,,,,,,
