condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
face_upright_glasses,cateye_rectangle_001.png,cateye_rectangle_101.png,0,0,0,0,1,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,6.2586,0,0,0,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,period,5.9453,0,1,1,26,1,glasses2,7,9,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,period,1.6905,0,2,2,17,1,glasses1,9,7,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,1.0466,0,3,3,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,period,2.5382,0,4,4,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,period,1.9324,0,5,5,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,1.3081,0,6,6,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,1.5235,0,7,7,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,1.4524,0,8,8,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,period,1.4789,0,9,9,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,1.1282,0,10,10,28,1,glasses2,4,2,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,1.2944,0,11,11,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,0.7856,0,12,12,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,period,1.058,0,13,13,10,1,glasses1,4,2,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,period,1.1732,0,14,14,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,period,1.9151,0,15,15,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,1.3771,0,16,16,0,1,glasses1,0,2,,,,,,,,,,,
,,,,,,,,56,5c5f1e73ad90be00010286fe,2021-07-27_08h17.56.372,glasses,2021.1.4,Win32,59.31549914,1,x,2.3554,0,17,17,3,1,glasses1,6,8,,,,,,,,,,,
