condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
inverted_glasses,cateye_round_001.png,cateye_round_101.png,0,0,0,0,1,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,5.641,0,0,0,6,1,glasses1,3,5,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,3.08,0,1,1,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,3.503,0,2,2,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,3.285,0,3,3,17,1,glasses1,9,7,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,2.227,0,4,4,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,2.325,0,5,5,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,3.728,0,6,6,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,2.432,0,7,7,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,2.123,0,8,8,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,1.467,0,9,9,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,3.046,0,10,10,22,1,glasses2,8,10,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,4.057,0,11,11,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,3.095,0,12,12,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,2.415,0,13,13,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,2.048,0,14,14,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,3.534,0,15,15,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,2.546,0,16,16,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,2.043,0,17,17,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,x,1.549,0,18,18,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,15,60fdf887fd28db45d13af756,2021-07-27_00h12.44.583,glasses,2021.1.4,MacIntel,55.55555556,1,period,2.243,0,19,19,14,1,glasses1,3,1,,,,,,,,,,,
