condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
upright_glasses,cateye_square_001.png,cateye_square_101.png,0,0,0,0,1,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,2.817,0,0,0,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,2.6147,0,1,1,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,2.095,0,2,2,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.4902,0,3,3,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.4137,0,4,4,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.4763,0,5,5,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,3.4628,0,6,6,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.4217,0,7,7,0,1,glasses1,0,2,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,1.4662,0,8,8,8,1,glasses1,7,9,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,1.477,0,9,9,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,1.4321,0,10,10,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,1.441,0,11,11,17,1,glasses1,9,7,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,1.6111,0,12,12,27,1,glasses2,2,0,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,1.879,0,13,13,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.3111,0,14,14,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,2.2276,0,15,15,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.5838,0,16,16,24,1,glasses2,3,5,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.3345,0,17,17,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.891,0,18,18,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.6904,0,19,19,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.218,0,20,20,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,1.3455,0,21,21,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,x,1.2985,0,22,22,6,1,glasses1,3,5,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.428,0,23,23,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,49,60fe0d4a040e416585545db1,2021-07-27_00h17.23.845,glasses,2021.1.4,Win32,59.95922773,1,period,1.4646,0,24,24,26,1,glasses2,7,9,,,,,,,,,,,
