condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
face_inverted_glasses,geometric_round_001.png,geometric_round_101.png,0,0,0,0,1,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,5.2945,0,0,0,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,2.3573,0,1,1,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,3.7961,0,2,2,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,2.1158,0,3,3,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,2.1514,0,4,4,27,1,glasses2,2,0,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,2.5463,0,5,5,22,1,glasses2,8,10,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,2.6983,0,6,6,10,1,glasses1,4,2,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,1.9276,0,7,7,5,1,glasses1,1,3,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,2.0549,0,8,8,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,2.6989,0,9,9,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,2.174,0,10,10,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,2.7614,0,11,11,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,2.2681,0,12,12,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,1.6922,0,13,13,12,1,glasses1,8,6,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,2.157,0,14,14,35,1,glasses2,9,7,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,1.5268,0,15,15,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,1.3999,0,16,16,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,1.2892,0,17,17,34,1,glasses2,7,5,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,x,1.4084,0,18,18,28,1,glasses2,4,2,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,2.6087,0,19,19,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,1.4204,0,20,20,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,2.0528,0,21,21,24,1,glasses2,3,5,,,,,,,,,,,
,,,,,,,,6,60ff28da74806753b06f0f7b,2021-07-26_22h11.47.915,glasses,2021.1.4,Win32,144.092219,1,period,1.6773,0,22,22,16,1,glasses1,7,5,,,,,,,,,,,
