condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
upright_glasses,oval_rectangle_001.png,oval_rectangle_101.png,0,0,0,0,1,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,,,,,,,,,,,,,,,,,,,,,
,oval_rectangle_001.png,oval_rectangle_101.png,1,0,1,0,1,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,period,2.3722,0,0,0,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,x,7.6545,0,1,1,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,period,2.571,0,2,2,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,x,2.0808,0,3,3,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,x,2.4686,0,4,4,0,1,glasses1,0,2,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,x,3.1941,0,5,5,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,period,2.6047,0,6,6,17,1,glasses1,9,7,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,x,2.3708,0,7,7,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,x,1.9484,0,8,8,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,x,2.7447,0,9,9,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,period,2.0869,0,10,10,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,33,60ff424438b22eedc6792875,2021-07-27_00h14.47.439,glasses,2021.1.4,Win32,58.9935697,1,x,2.1973,0,11,11,8,1,glasses1,7,9,,,,,,,,,,,
