condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
face_upright_glasses,cateye_geometric_001.png,cateye_geometric_101.png,0,0,0,0,1,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,x,6.9834,0,0,0,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.2743,0,1,1,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.2864,0,2,2,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.1175,0,3,3,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.346,0,4,4,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.7824,0,5,5,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.1114,0,6,6,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.9154,0,7,7,19,1,glasses2,2,4,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,x,2.0227,0,8,8,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.7331,0,9,9,6,1,glasses1,3,5,,,,,,,,,,,
,,,,,,,,48,60fe9855ea09af7a47c8e0a5,2021-07-27_15h15.35.284,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.9838,0,10,10,24,1,glasses2,3,5,,,,,,,,,,,
