condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
face_inverted_glasses,cateye_square_001.png,cateye_square_101.png,0,0,0,0,1,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,,,,,,,,,,,,,,,,,,,,,
,cateye_square_001.png,cateye_square_101.png,1,0,1,0,1,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,x,9.6712,0,0,0,22,1,glasses2,8,10,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,period,7.7958,0,1,1,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,x,1.7437,0,2,2,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,x,2.7295,0,3,3,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,period,3.2668,0,4,4,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,x,1.4133,0,5,5,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,period,2.5929,0,6,6,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,x,5.7265,0,7,7,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,x,2.921,0,8,8,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,period,1.9833,0,9,9,12,1,glasses1,8,6,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,period,4.2304,0,10,10,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,x,3.012,0,11,11,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,10,60ff7ef275075739a90ad8f4,2021-07-27_01h12.17.886,glasses,2021.1.4,Win32,143.8848921,1,period,6.0995,0,12,12,33,1,glasses2,5,3,,,,,,,,,,,
