condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
face_upright_glasses,cateye_oval_001.png,cateye_oval_101.png,0,0,0,0,1,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,x,3.175,0,0,0,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,period,3.073,0,1,1,10,1,glasses1,4,2,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,period,2.294,0,2,2,9,1,glasses1,2,0,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,x,3.688,0,3,3,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,period,1.951,0,4,4,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,x,5.261,0,5,5,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,period,1.638,0,6,6,25,1,glasses2,5,7,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,x,4.778,0,7,7,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,x,1.614,0,8,8,1,1,glasses1,2,4,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,x,2.511,0,9,9,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,28,60ff880621f6bde80d7c47f1,2021-07-27_00h14.22.718,glasses,2021.1.4,MacIntel,58.82352941,1,x,3.562,0,10,10,32,1,glasses2,3,1,,,,,,,,,,,
