condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
upright_glasses,cateye_square_001.png,cateye_square_101.png,0,0,0,0,1,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,6.0592,0,0,0,31,1,glasses2,10,8,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.5094,0,1,1,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,5.6876,0,2,2,6,1,glasses1,3,5,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.7265,0,3,3,16,1,glasses1,7,5,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,3.0955,0,4,4,20,1,glasses2,4,6,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,0.8152,0,5,5,14,1,glasses1,3,1,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.5187,0,6,6,27,1,glasses2,2,0,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,2.2377,0,7,7,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.9459,0,8,8,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.4509,0,9,9,2,1,glasses1,4,6,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.9544,0,10,10,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.4326,0,11,11,25,1,glasses2,5,7,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.4594,0,12,12,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,0.7813,0,13,13,26,1,glasses2,7,9,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.617,0,14,14,11,1,glasses1,6,4,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,1.7023,0,15,15,7,1,glasses1,5,7,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.0419,0,16,16,32,1,glasses2,3,1,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.8561,0,17,17,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.0067,0,18,18,30,1,glasses2,8,6,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.2515,0,19,19,28,1,glasses2,4,2,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,3.4037,0,20,20,12,1,glasses1,8,6,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,x,1.8696,0,21,21,3,1,glasses1,6,8,,,,,,,,,,,
,,,,,,,,13,60ff1c488f0f9a5ad9057ea8,2021-07-26_22h12.19.043,glasses,2021.1.4,MacIntel,60.0024001,1,period,3.037,0,22,22,34,1,glasses2,7,5,,,,,,,,,,,
