condition,glasses1,glasses2,begin_loop.thisRepN,begin_loop.thisTrialN,begin_loop.thisN,begin_loop.thisIndex,begin_loop.ran,participant,PROLIFIC_ID*,date,expName,psychopyVersion,OS,frameRate,session,similarity_resp.keys,similarity_resp.rt,bl_loop.thisRepN,bl_loop.thisTrialN,bl_loop.thisN,bl_loop.thisIndex,bl_loop.ran,ask_glasses,glasses_left_num,glasses_right_num,classification_glasses,class_resp.keys,class_resp.rt,class_loop.thisRepN,class_loop.thisTrialN,class_loop.thisN,class_loop.thisIndex,class_loop.ran,manipulation_check,key_resp_3.keys,key_resp_3.rt
inverted_glasses,round_square_001.png,round_square_101.png,0,0,0,0,1,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,period,5.429,0,0,0,23,1,glasses2,1,3,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,period,2.953,0,1,1,4,1,glasses1,8,10,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,x,2.833,0,2,2,34,1,glasses2,7,5,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,period,4.875,0,3,3,13,1,glasses1,10,8,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,x,3.732,0,4,4,22,1,glasses2,8,10,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,period,2.197,0,5,5,15,1,glasses1,5,3,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,period,2.806,0,6,6,29,1,glasses2,6,4,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,x,2.621,0,7,7,18,1,glasses2,0,2,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,period,2.122,0,8,8,26,1,glasses2,7,9,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,x,1.94,0,9,9,21,1,glasses2,6,8,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,period,0.76,0,10,10,33,1,glasses2,5,3,,,,,,,,,,,
,,,,,,,,39,60fe6dc565eb0f9323ee2e64,2021-07-27_01h17.08.512,glasses,2021.1.4,MacIntel,58.82352941,1,period,0.787,0,11,11,25,1,glasses2,5,7,,,,,,,,,,,
